camera,filename,region_id,dice,iou,gt_area_px,pr_area_px
cam0,cam0_05-08_02-00.jpg,,0.6530029729932296,0.4847842719031832,310340,330092
cam0,cam0_05-08_10-00.jpg,,0.6925257121190578,0.5296667923324536,345848,392617
cam0,cam0_05-09_07-00.jpg,,0.6901779928415264,0.5269250242166856,311667,348809
cam0,cam0_05-11_02-00.jpg,,0.6842482152027833,0.5200435394493799,667003,439005
cam0,cam0_05-14_17-00.jpg,,0.7012409217579013,0.5399314880686321,1034046,605864
cam1,cam1_05-09_12-00.jpg,,0.6668242523151442,0.5001773048100573,745556,976259
cam1,cam1_05-09_12-00.jpg,,0.08557312794113621,0.04469908419594366,46305,976259
cam1,cam1_05-11_05-00.jpg,,0.8416396189774097,0.7265783885274266,2538506,2149510
cam1,cam1_05-11_18-00.jpg,,0.7878010756614721,0.6498942210259416,3610984,2879162
cam1,cam1_05-14_00-00.jpg,,0.8076982691062481,0.6774277418022331,4825328,3458716
cam1,cam1_05-12_00-00.jpg,,0.8579705330329199,0.7512682972283162,3713650,2920762
